,0
N,8800000
rho,0.095
epsilon,0.25
phi,0.25
compliance_max,0.8
beta_floor,0.1
obs,"{'delay_sd': 2.0, 'delay_maxlag': 14}"
y0_anchor_weight,100
I0_anchor,418.60575043160367
C0_anchor,673.6433306926987
R0_anchor,7871755.912135776
P0_anchor,4.385147588009077
F0_anchor,4.3731542949057856
beta0,1.9455307584436634
gamma,0.05638328534772582
alpha,0.25870322709560595
rho_obs,1.0
delta,0.25094466416199107
k,6.6702471373832015
log_theta,3.1576700380032543
I0,418.60604259525945
C0,673.6432040563766
P0,0.95
F0,1.0
R0,7871755.912281639
a1,-0.018244517343062046
b1,-0.17749579131634807
a2,0.012562741099127075
b2,-0.04408305689344295
delay_mean,2.961479782782578
