mu,inc,y
60.09423521100396,0.0,59.0
51.029188359662236,63.49098122562282,93.0
51.69922441352432,65.28711787820794,111.0
55.767474411174774,69.06169679446612,94.0
60.978677931514554,75.4100024504587,131.0
67.08203445166416,84.32480395399034,114.0
74.367269812866,95.26948083029129,97.0
83.03713497812817,107.54462346341461,66.0
93.06261272409915,120.59345656458754,123.0
104.25170997387076,134.09816845110618,119.0
116.36268615922458,147.93538561614696,132.0
129.18484496179738,162.0970199557487,150.0
142.57278604479274,176.62743429187685,170.0
156.44731490317372,191.5855735965306,158.0
170.7802268384322,207.02511819684878,136.0
185.58340906134157,222.98521857371088,177.0
200.8541942870985,239.48624549189117,204.0
216.62666517150967,256.52784800552763,275.0
232.91223851269058,274.08787535177544,286.0
249.70927918611582,292.1216629424598,266.0
266.99912215909467,310.5615759276552,268.0
284.7435887758763,329.3169140792452,217.0
302.883514594905,348.2743977160426,284.0
321.3381158801194,367.2994853258133,390.0
340.0052039626896,386.2387718152022,391.0
358.7623397487798,404.92367489764,409.0
377.4690468123904,423.17550480715,401.0
395.9701910763879,440.8119213563623,417.0
414.10056693851436,457.65446359093767,330.0
431.6906325296909,473.5368852086831,410.0
448.57321253978876,488.31367225095164,424.0
464.59079535581577,501.8677311736392,493.0
479.60292669610874,514.116867259494,604.0
493.49310211250656,525.0179586157901,525.0
506.17451159310417,534.5684723329032,383.0
517.594065279906,542.8051127541112,332.0
527.7342723539223,549.7996485439362,413.0
536.6128089096269,555.652796582086,537.0
544.2797761048764,560.4858257106971,647.0
550.8130462057738,564.4328342416557,641.0
556.3122461380068,567.6322870450094,505.0
560.8919618138619,570.2199275133898,503.0
564.6748569483707,572.3231758589391,418.0
567.7852863490411,574.0570738157257,570.0
570.34384470792,575.5219909545267,706.0
572.4631027458032,576.8025790362153,711.0
574.2446183609499,577.9680133073125,760.0
575.7771797573056,579.0730023162905,654.0
577.136125297435,580.1593330169562,631.0
578.3835256184731,581.2576470503118,485.0
579.5689945684724,582.3892833662685,601.0
580.7309085660017,583.5680328171002,630.0
581.8978456309042,584.8017402823316,765.0
583.0900945999845,586.093691879767,961.0
584.3211239215406,587.4437806820497,879.0
585.5989381885116,588.8494640984572,656.0
586.9272814590636,590.306526701781,616.0
588.3066703125971,591.8096784356749,679.0
589.7352552488123,593.3530016689328,749.0
591.2095222456485,594.9303018059582,834.0
592.7248512373465,596.5353472247953,819.0
594.2759495493151,598.1620411109179,809.0
595.857181299601,599.8045429678168,641.0
597.4628122639124,601.4573454643833,623.0
599.0871860236616,603.1153129722225,644.0
600.7248460601554,604.773704706924,614.0
602.3706165597882,606.4281780512538,783.0
604.0196518021709,608.0747810109751,721.0
605.66746211038,609.7099362828303,780.0
607.3099227510781,611.330421270337,581.0
608.9432708919092,612.9333457417088,493.0
610.564094337595,614.5161271821707,499.0
612.1693147746737,616.0764660133282,566.0
613.7561677045621,617.6123217501445,710.0
615.3221806489742,619.1218898189254,587.0
616.8651507627441,620.6035799566889,624.0
618.3831226536445,622.0559959430248,396.0
619.8743668470245,623.4779162654886,439.0
621.3373592461386,624.8682769534644,478.0
622.7707619002231,626.22615607013,534.0
624.1734052345529,627.5507597409887,613.0
625.5442712641952,628.8414056132315,628.0
626.8824782126609,630.0975145165576,598.0
628.1872670479752,631.318600862287,530.0
629.4579890949736,632.5042600402376,421.0
630.6940945365062,633.6541607577819,432.0
631.8951220818075,634.7680374040501,583.0
633.0606896981042,635.8456830745563,641.0
634.1904862910968,636.8869433784857,689.0
635.2842641586249,637.8917102407431,792.0
636.3418323724081,638.8599186802749,427.0
637.3630510477901,639.79154216405,350.0
638.347825792305,640.6865854453063,421.0
639.2961026854681,641.5450840715785,499.0
640.2078641460735,642.3671012398554,411.0
641.0831252074404,643.1527240155265,411.0
641.9219301051421,643.902061203029,447.0
642.7243492424379,644.6152411065996,376.0
643.4904764865491,645.292409545742,342.0
644.220426764297,645.9337281328626,379.0
644.9143339242673,646.5393727032933,453.0
645.5723488338717,647.1095319320448,474.0
646.1946376869788,647.6444061078364,556.0
646.7813804986349,648.144206034136,542.0
647.3327697662457,648.6091520589544,538.0
647.8490092787863,649.039473208366,491.0
648.3303130576535,649.4354064156068,484.0
648.776904415038,649.7971958369017,535.0
649.1890151154996,650.1250922388863,641.0
649.5668846299689,650.4193524572765,667.0
649.9107594716722,650.6802389089717,597.0
650.2208926044016,650.9080191607354,586.0
650.4975429150807,651.102965541184,502.0
650.7409747432221,651.265354795265,525.0
650.951457460647,651.3954677727306,723.0
651.1292650957214,651.4935891506029,677.0
651.2746759968434,651.5600071809022,699.0
651.3879725307133,651.5950134663144,716.0
651.4694408112041,651.5989027539035,511.0
651.5193704552225,651.571972751175,542.0
651.5380543623753,651.5145239563426,593.0
651.5257885153608,651.4268595036119,707.0
651.4828717989308,651.3092850240646,793.0
651.4096058349905,651.1621085135266,720.0
651.3062948316447,650.9856402126607,766.0
651.1732454448925,650.7801924971864,724.0
651.0107666509884,650.5460797704291,662.0
650.8191696281967,650.2836183679756,740.0
650.5987676469338,649.993126464542,885.0
650.3498759669492,649.6749239860801,988.0
650.0728117408428,649.3293325280538,1173.0
649.7678939228576,648.9566752734827,1008.0
649.4354431823467,648.5572769185528,817.0
649.0757818212209,648.1314635964809,719.0
648.6892336948683,647.6795628076652,922.0
648.2761241360981,647.2019033486722,1112.0
