f,Pxx
0.0,376957.14368195337
0.007352941176470588,718393.2135147826
0.014705882352941176,15969.532339564113
0.022058823529411763,18493.41686218165
0.029411764705882353,6165.496304316711
0.03676470588235294,889.3986048883019
0.044117647058823525,19.868540412509976
0.051470588235294115,15.022274540766649
0.058823529411764705,16.27856304882587
0.0661764705882353,5.4776081696331245
0.07352941176470588,1.8597119180505528
0.08088235294117647,1.1770596123855095
0.08823529411764705,0.738084359887897
0.09558823529411764,0.41680940590708054
0.10294117647058823,0.24567995613695975
0.11029411764705882,0.15473175816713858
0.11764705882352941,0.10071963056764344
0.125,0.06757682271525225
0.1323529411764706,0.046971864333866575
0.13970588235294118,0.033684226257092345
0.14705882352941177,0.024753096720306775
0.15441176470588236,0.01854566945575158
0.16176470588235295,0.014117914561036483
0.16911764705882354,0.010894830670202565
0.1764705882352941,0.008512228099369265
0.1838235294117647,0.006727340898042128
0.19117647058823528,0.005370281552771505
0.19852941176470587,0.004321144489647136
0.20588235294117646,0.0034963591003859544
0.21323529411764705,0.002838047564124868
0.22058823529411764,0.00230793712291105
0.22794117647058823,0.0018813945066967945
0.23529411764705882,0.001540103764370358
0.2426470588235294,0.0012685508384403957
0.25,0.0010532538838784725
0.25735294117647056,0.0008817475850313997
0.2647058823529412,0.0007426031008158429
0.27205882352941174,0.000626835608760434
0.27941176470588236,0.0005285332898938716
0.2867647058823529,0.00044424564158888305
0.29411764705882354,0.00037226665379393544
0.3014705882352941,0.00031187909786629123
0.3088235294117647,0.0002624624794106031
0.3161764705882353,0.0002227426483810311
0.3235294117647059,0.00019079447122597487
0.33088235294117646,0.000164481079023529
0.3382352941176471,0.0001418838754962309
0.34558823529411764,0.00012164124151242968
0.3529411764705882,0.00010312287466814025
0.3602941176470588,8.636865884197007e-05
0.3676470588235294,7.174721321173402e-05
0.375,5.955973833602721e-05
0.38235294117647056,4.980718211781636e-05
0.3897058823529412,4.214705566025092e-05
0.39705882352941174,3.598308485592134e-05
0.40441176470588236,3.066175326679898e-05
0.4117647058823529,2.5708216168643643e-05
0.41911764705882354,2.0944377891468112e-05
0.4264705882352941,1.6451312203437184e-05
0.4338235294117647,1.2447210570102529e-05
0.4411764705882353,9.142734881276122e-06
0.4485294117647059,6.620166307576323e-06
0.45588235294117646,4.792119122335566e-06
0.4632352941176471,3.4579053707684268e-06
0.47058823529411764,2.40881472179821e-06
0.4779411764705882,1.5176596706375546e-06
0.4852941176470588,7.752770180432776e-07
0.4926470588235294,2.6252510838872136e-07
0.5,3.8702016353987314e-08
