param,grid,negloglik
k,0.5,21873.528258879636
k,0.9791666666666667,21873.671116472266
k,1.4583333333333335,21872.615169974335
k,1.9375,21872.29327192252
k,2.416666666666667,21872.375672120892
k,2.8958333333333335,21872.424096608545
k,3.375,21872.69211341831
k,3.854166666666667,21872.685353197656
k,4.333333333333334,21873.063644504728
k,4.8125,21872.69906125692
k,5.291666666666667,21872.620015467037
k,5.770833333333334,21872.62026818317
k,6.25,21873.520820893827
k,6.729166666666667,21872.606296504506
k,7.208333333333334,21872.610400222355
k,7.6875,21872.586718215956
k,8.166666666666668,21872.733071281513
k,8.645833333333334,21872.698106591906
k,9.125,21872.5994620332
k,9.604166666666668,21899.99038707606
k,10.083333333333334,21872.67962153547
k,10.5625,21872.874997259347
k,11.041666666666668,21873.06986131449
k,11.520833333333334,21873.494197051325
k,12.0,21872.532756752076
