param,grid,negloglik
beta0,0.05,22034.086519011154
beta0,0.0975,21900.322888881794
beta0,0.14500000000000002,21908.01404107031
beta0,0.1925,21873.473828993614
beta0,0.24,21873.707808542295
beta0,0.2875,21873.888613041145
beta0,0.335,21872.728870080566
beta0,0.3825,22087.684050356398
beta0,0.43,2430572.8164310413
beta0,0.4775,21873.713947236603
beta0,0.525,21873.47712085797
beta0,0.5725,21873.4966057454
beta0,0.6200000000000001,21872.774347496157
beta0,0.6675000000000001,21873.84314631823
beta0,0.7150000000000001,21873.075387835375
beta0,0.7625000000000001,21872.963816363153
beta0,0.81,21872.97097433629
beta0,0.8575,21873.61521165353
beta0,0.905,21873.462133368055
beta0,0.9525,21873.40295417259
beta0,1.0,21873.338900997216
