,0
N,8800000
rho,0.095
epsilon,0.25
phi,0.25
compliance_max,0.8
beta_floor,0.1
obs,"{'delay_sd': 2.0, 'delay_maxlag': 14}"
beta0,1.9997117193130112
gamma,0.5074515608581369
alpha,4.55708084718276
rho_obs,0.050732889085935914
delta,0.31967616963885703
k,11.691398597263268
log_theta,3.9448250602455754
I0,4467.426845732111
C0,51.91888302873918
P0,0.0
F0,0.3965905481918707
R0,3420.2433305194977
a1,0.1529126412540349
b1,-0.08322832739955786
a2,0.05787794428613409
b2,0.019831131224866107
delay_mean,2.859146097856208
