param,grid,negloglik
k,0.5,9826.732664475272
k,0.9791666666666667,9826.744562005992
k,1.4583333333333335,9826.740572622604
k,1.9375,9827.24988761089
k,2.416666666666667,9827.252447838118
k,2.8958333333333335,9826.741985382683
k,3.375,9826.74281927905
k,3.854166666666667,9826.79238600055
k,4.333333333333334,9826.748397252577
k,4.8125,9826.737145915451
k,5.291666666666667,9826.741961825035
k,5.770833333333334,9826.805116278269
k,6.25,9826.809772264602
k,6.729166666666667,9826.744423508111
k,7.208333333333334,9826.731920540124
k,7.6875,9826.904012981628
k,8.166666666666668,9826.690717569367
k,8.645833333333334,9826.814751409946
k,9.125,9826.73754513859
k,9.604166666666668,9826.7564419541
k,10.083333333333334,9826.989085878928
k,10.5625,9827.49706393549
k,11.041666666666668,9826.75896211952
k,11.520833333333334,9826.804759632209
k,12.0,9826.668321360237
