param,grid,negloglik
alpha,0.0,9826.799815424887
alpha,0.1,9826.851787415206
alpha,0.2,9826.759082680404
alpha,0.30000000000000004,9826.73769866352
alpha,0.4,9826.772322828763
alpha,0.5,9826.736249228885
alpha,0.6000000000000001,9827.052864729605
alpha,0.7000000000000001,9826.740820880997
alpha,0.8,9826.77959020443
alpha,0.9,9826.780142552892
alpha,1.0,9826.737485451866
alpha,1.1,9826.739822694943
alpha,1.2000000000000002,9826.8935680987
alpha,1.3,9826.73733005597
alpha,1.4000000000000001,9826.737424604707
alpha,1.5,9958.74659625488
alpha,1.6,9826.746752557034
alpha,1.7000000000000002,9826.680142517254
alpha,1.8,9929.477565157491
alpha,1.9000000000000001,9826.857741053247
alpha,2.0,9827.000345907645
