param,grid,negloglik
alpha,0.0,1154.7404409353126
alpha,0.1,1097.804565325607
alpha,0.2,1123.1467482460491
alpha,0.30000000000000004,1122.521293568715
alpha,0.4,1122.7897197088705
alpha,0.5,1123.865590315876
alpha,0.6000000000000001,1124.7985936898017
alpha,0.7000000000000001,1129.2424983024023
alpha,0.8,1126.9688079004227
alpha,0.9,1134.5503180246315
alpha,1.0,1134.2892076152064
alpha,1.1,1134.33864545112
alpha,1.2000000000000002,1166.240783145804
alpha,1.3,1135.7081633174198
alpha,1.4000000000000001,1134.440307798305
alpha,1.5,1134.464562175934
alpha,1.6,1134.485570581269
alpha,1.7000000000000002,1142.5126540931553
alpha,1.8,1134.5199020220575
alpha,1.9000000000000001,1134.5343157737873
alpha,2.0,1134.5471309705874
