param,grid,negloglik
beta0,0.05,111777.6367200953
beta0,0.0975,54730.86318246923
beta0,0.14500000000000002,54766.03485203883
beta0,0.1925,54766.44370589039
beta0,0.24,54730.886299388585
beta0,0.2875,54749.00762612551
beta0,0.335,5298720.076287704
beta0,0.3825,54731.19040911671
beta0,0.43,54730.74563631186
beta0,0.4775,54730.38701315419
beta0,0.525,54730.33037430776
beta0,0.5725,54730.2987037292
beta0,0.6200000000000001,54730.26059835587
beta0,0.6675000000000001,54730.03506776415
beta0,0.7150000000000001,54731.03852431162
beta0,0.7625000000000001,54730.19633044925
beta0,0.81,54730.1434104632
beta0,0.8575,54730.24546259262
beta0,0.905,54730.00681035498
beta0,0.9525,54730.15985697712
beta0,1.0,54730.04004610017
