Date,Regroupement,Croisement,Nom,psi_quo_pos_n
2020-01-24,Groupe d'âge,10_19,10-19 ans,0
2020-01-24,Groupe d'âge,20_29,20-29 ans,0
2020-01-24,Groupe d'âge,30_39,30-39 ans,0
2020-01-24,Groupe d'âge,40_49,40-49 ans,0
2020-01-24,Groupe d'âge,50_59,50-59 ans,0
2020-01-24,Groupe d'âge,60_69,60-69 ans,0
2020-01-24,Groupe d'âge,70_79,70-79 ans,0
2020-01-24,Groupe d'âge,80_89,80-89 ans,0
2020-01-24,Groupe d'âge,90_,90 ans et plus,0
2020-01-24,Groupe d'âge,INC,Inconnu,0
2020-01-24,Groupe d'âge,TOT,Total,0
2020-01-24,Sexe,MASC,Masculin,0
2020-01-24,Sexe,FEM,Féminin,0
2020-01-24,Sexe,INC,Inconnu,0
2020-01-24,Sexe,TOT,Total,0
2020-01-25,Région,RSS01,01 - Bas-Saint-Laurent,0
2020-01-25,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0
2020-01-25,Région,RSS03,03 - Capitale-Nationale,0
2020-01-25,Région,RSS04,04 - Mauricie et Centre-du-Québec,0
2020-01-25,Région,RSS05,05 - Estrie,0
2020-01-25,Région,RSS06,06 - Montréal,0
2020-01-25,Région,RSS07,07 - Outaouais,0
2020-01-25,Région,RSS08,08 - Abitibi-Témiscamingue,0
2020-01-25,Région,RSS09,09 - Côte-Nord,0
2020-01-25,Région,RSS10,10 - Nord-du-Québec,0
2020-01-25,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-01-25,Région,RSS12,12 - Chaudière-Appalaches,0
2020-01-25,Région,RSS13,13 - Laval,0
2020-01-25,Région,RSS14,14 - Lanaudière,0
2020-01-25,Région,RSS15,15 - Laurentides,0
2020-01-25,Région,RSS16,16 - Montérégie,0
2020-01-25,Région,RSS17,17 - Nunavik,0
2020-01-25,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-01-25,Région,RSS00,Inconnu,0
2020-01-25,Région,RSS98,Hors Québec,0
2020-01-25,Région,RSS99,Ensemble du Québec,0
2020-01-25,Groupe de région,REG01,Montréal et Laval,0
2020-01-25,Groupe de région,REG02,Ceinture de Montréal,0
2020-01-25,Groupe de région,REG03,Autres régions,0
2020-01-25,Groupe de région,REG00,Inconnu,0
2020-01-25,Groupe de région,REG98,Hors Québec,0
2020-01-25,Groupe d'âge,0_9,0-9 ans,0
2020-01-25,Groupe d'âge,10_19,10-19 ans,0
2020-01-25,Groupe d'âge,20_29,20-29 ans,0
2020-01-25,Groupe d'âge,30_39,30-39 ans,0
2020-01-25,Groupe d'âge,40_49,40-49 ans,0
2020-01-25,Groupe d'âge,50_59,50-59 ans,0
2020-01-25,Groupe d'âge,60_69,60-69 ans,0
2020-01-25,Groupe d'âge,70_79,70-79 ans,0
2020-01-25,Groupe d'âge,80_89,80-89 ans,0
2020-01-25,Groupe d'âge,90_,90 ans et plus,0
2020-01-25,Groupe d'âge,INC,Inconnu,0
2020-01-25,Groupe d'âge,TOT,Total,0
2020-01-25,Sexe,MASC,Masculin,0
2020-01-25,Sexe,FEM,Féminin,0
2020-01-25,Sexe,INC,Inconnu,0
2020-01-25,Sexe,TOT,Total,0
2020-01-26,Région,RSS01,01 - Bas-Saint-Laurent,0
2020-01-26,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0
2020-01-26,Région,RSS03,03 - Capitale-Nationale,0
2020-01-26,Région,RSS04,04 - Mauricie et Centre-du-Québec,0
2020-01-26,Région,RSS05,05 - Estrie,0
2020-01-26,Région,RSS06,06 - Montréal,0
2020-01-26,Région,RSS07,07 - Outaouais,0
2020-01-26,Région,RSS08,08 - Abitibi-Témiscamingue,0
2020-01-26,Région,RSS09,09 - Côte-Nord,0
2020-01-26,Région,RSS10,10 - Nord-du-Québec,0
2020-01-26,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-01-26,Région,RSS12,12 - Chaudière-Appalaches,0
2020-01-26,Région,RSS13,13 - Laval,0
2020-01-26,Région,RSS14,14 - Lanaudière,0
2020-01-26,Région,RSS15,15 - Laurentides,0
2020-01-26,Région,RSS16,16 - Montérégie,0
2020-01-26,Région,RSS17,17 - Nunavik,0
2020-01-26,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-01-26,Région,RSS00,Inconnu,0
2020-01-26,Région,RSS98,Hors Québec,0
2020-01-26,Région,RSS99,Ensemble du Québec,0
2020-01-26,Groupe de région,REG01,Montréal et Laval,0
2020-01-26,Groupe de région,REG02,Ceinture de Montréal,0
2020-01-26,Groupe de région,REG03,Autres régions,0
2020-01-26,Groupe de région,REG00,Inconnu,0
2020-01-26,Groupe de région,REG98,Hors Québec,0
2020-01-26,Groupe d'âge,0_9,0-9 ans,0
2020-01-26,Groupe d'âge,10_19,10-19 ans,0
2020-01-26,Groupe d'âge,20_29,20-29 ans,0
2020-01-26,Groupe d'âge,30_39,30-39 ans,0
2020-01-26,Groupe d'âge,40_49,40-49 ans,0
2020-01-26,Groupe d'âge,50_59,50-59 ans,0
2020-01-26,Groupe d'âge,60_69,60-69 ans,0
2020-01-26,Groupe d'âge,70_79,70-79 ans,0
2020-01-26,Groupe d'âge,80_89,80-89 ans,0
2020-01-26,Groupe d'âge,90_,90 ans et plus,0
2020-01-26,Groupe d'âge,INC,Inconnu,0
2020-01-26,Groupe d'âge,TOT,Total,0
2020-01-26,Sexe,MASC,Masculin,0
2020-01-26,Sexe,FEM,Féminin,0
2020-01-26,Sexe,INC,Inconnu,0
2020-01-26,Sexe,TOT,Total,0
2020-01-27,Région,RSS01,01 - Bas-Saint-Laurent,0
2020-01-27,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0
2020-01-27,Région,RSS03,03 - Capitale-Nationale,0
2020-01-27,Région,RSS04,04 - Mauricie et Centre-du-Québec,0
2020-01-27,Région,RSS05,05 - Estrie,0
2020-01-27,Région,RSS06,06 - Montréal,0
2020-01-27,Région,RSS07,07 - Outaouais,0
2020-01-27,Région,RSS08,08 - Abitibi-Témiscamingue,0
2020-01-27,Région,RSS09,09 - Côte-Nord,0
2020-01-27,Région,RSS10,10 - Nord-du-Québec,0
2020-01-27,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-01-27,Région,RSS12,12 - Chaudière-Appalaches,0
2020-01-27,Région,RSS13,13 - Laval,0
2020-01-27,Région,RSS14,14 - Lanaudière,0
2020-01-27,Région,RSS15,15 - Laurentides,0
2020-01-27,Région,RSS16,16 - Montérégie,0
2020-01-27,Région,RSS17,17 - Nunavik,0
2020-01-27,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-01-27,Région,RSS00,Inconnu,0
2020-01-27,Région,RSS98,Hors Québec,0
2020-01-27,Région,RSS99,Ensemble du Québec,0
2020-01-27,Groupe de région,REG01,Montréal et Laval,0
2020-01-27,Groupe de région,REG02,Ceinture de Montréal,0
2020-01-27,Groupe de région,REG03,Autres régions,0
2020-01-27,Groupe de région,REG00,Inconnu,0
2020-01-27,Groupe de région,REG98,Hors Québec,0
2020-01-27,Groupe d'âge,0_9,0-9 ans,0
2020-01-27,Groupe d'âge,10_19,10-19 ans,0
2020-01-27,Groupe d'âge,20_29,20-29 ans,0
2020-01-27,Groupe d'âge,30_39,30-39 ans,0
2020-01-27,Groupe d'âge,40_49,40-49 ans,0
2020-01-27,Groupe d'âge,50_59,50-59 ans,0
2020-01-27,Groupe d'âge,60_69,60-69 ans,0
2020-01-27,Groupe d'âge,70_79,70-79 ans,0
2020-01-27,Groupe d'âge,80_89,80-89 ans,0
2020-01-27,Groupe d'âge,90_,90 ans et plus,0
2020-01-27,Groupe d'âge,INC,Inconnu,0
2020-01-27,Groupe d'âge,TOT,Total,0
2020-01-27,Sexe,MASC,Masculin,0
2020-01-27,Sexe,FEM,Féminin,0
2020-01-27,Sexe,INC,Inconnu,0
2020-01-27,Sexe,TOT,Total,0
2020-01-28,Région,RSS01,01 - Bas-Saint-Laurent,0
2020-01-28,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0
2020-01-28,Région,RSS03,03 - Capitale-Nationale,0
2020-01-28,Région,RSS04,04 - Mauricie et Centre-du-Québec,0
2020-01-28,Région,RSS05,05 - Estrie,0
2020-01-28,Région,RSS06,06 - Montréal,0
2020-01-28,Région,RSS07,07 - Outaouais,0
2020-01-28,Région,RSS08,08 - Abitibi-Témiscamingue,0
2020-01-28,Région,RSS09,09 - Côte-Nord,0
2020-01-28,Région,RSS10,10 - Nord-du-Québec,0
2020-01-28,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-01-28,Région,RSS12,12 - Chaudière-Appalaches,0
2020-01-28,Région,RSS13,13 - Laval,0
2020-01-28,Région,RSS14,14 - Lanaudière,0
2020-01-28,Région,RSS15,15 - Laurentides,0
2020-01-28,Région,RSS16,16 - Montérégie,0
2020-01-28,Région,RSS17,17 - Nunavik,0
2020-01-28,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-01-28,Région,RSS00,Inconnu,0
2020-01-28,Région,RSS98,Hors Québec,0
2020-01-28,Région,RSS99,Ensemble du Québec,0
2020-01-28,Groupe de région,REG01,Montréal et Laval,0
2020-01-28,Groupe de région,REG02,Ceinture de Montréal,0
2020-01-28,Groupe de région,REG03,Autres régions,0
2020-01-28,Groupe de région,REG00,Inconnu,0
2020-01-28,Groupe de région,REG98,Hors Québec,0
2020-01-28,Groupe d'âge,0_9,0-9 ans,0
2020-01-28,Groupe d'âge,10_19,10-19 ans,0
2020-01-28,Groupe d'âge,20_29,20-29 ans,0
2020-01-28,Groupe d'âge,30_39,30-39 ans,0
2020-01-28,Groupe d'âge,40_49,40-49 ans,0
2020-01-28,Groupe d'âge,50_59,50-59 ans,0
2020-01-28,Groupe d'âge,60_69,60-69 ans,0
2020-01-28,Groupe d'âge,70_79,70-79 ans,0
2020-01-28,Groupe d'âge,80_89,80-89 ans,0
2020-01-28,Groupe d'âge,90_,90 ans et plus,0
2020-01-28,Groupe d'âge,INC,Inconnu,0
2020-01-28,Groupe d'âge,TOT,Total,0
2020-01-28,Sexe,MASC,Masculin,0
2020-01-28,Sexe,FEM,Féminin,0
2020-01-28,Sexe,INC,Inconnu,0
2020-01-28,Sexe,TOT,Total,0
2020-01-29,Région,RSS01,01 - Bas-Saint-Laurent,0
2020-01-29,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0
2020-01-29,Région,RSS03,03 - Capitale-Nationale,0
2020-01-29,Région,RSS04,04 - Mauricie et Centre-du-Québec,0
2020-01-29,Région,RSS05,05 - Estrie,0
2020-01-29,Région,RSS06,06 - Montréal,0
2020-01-29,Région,RSS07,07 - Outaouais,0
2020-01-29,Région,RSS08,08 - Abitibi-Témiscamingue,0
2020-01-29,Région,RSS09,09 - Côte-Nord,0
2020-01-29,Région,RSS10,10 - Nord-du-Québec,0
2020-01-29,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-01-29,Région,RSS12,12 - Chaudière-Appalaches,0
2020-01-29,Région,RSS13,13 - Laval,0
2020-01-29,Région,RSS14,14 - Lanaudière,0
2020-01-29,Région,RSS15,15 - Laurentides,0
2020-01-29,Région,RSS16,16 - Montérégie,0
2020-01-29,Région,RSS17,17 - Nunavik,0
2020-01-29,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-01-29,Région,RSS00,Inconnu,0
2020-01-29,Région,RSS98,Hors Québec,0
2020-01-29,Région,RSS99,Ensemble du Québec,0
2020-01-29,Groupe de région,REG01,Montréal et Laval,0
2020-01-29,Groupe de région,REG02,Ceinture de Montréal,0
2020-01-29,Groupe de région,REG03,Autres régions,0
2020-01-29,Groupe de région,REG00,Inconnu,0
2020-01-29,Groupe de région,REG98,Hors Québec,0
2020-01-29,Groupe d'âge,0_9,0-9 ans,0
2020-01-29,Groupe d'âge,10_19,10-19 ans,0
2020-01-29,Groupe d'âge,20_29,20-29 ans,0
2020-01-29,Groupe d'âge,30_39,30-39 ans,0
2020-01-29,Groupe d'âge,40_49,40-49 ans,0
2020-01-29,Groupe d'âge,50_59,50-59 ans,0
2020-01-29,Groupe d'âge,60_69,60-69 ans,0
2020-01-29,Groupe d'âge,70_79,70-79 ans,0
2020-01-29,Groupe d'âge,80_89,80-89 ans,0
2020-01-29,Groupe d'âge,90_,90 ans et plus,0
2020-01-29,Groupe d'âge,INC,Inconnu,0
2020-01-29,Groupe d'âge,TOT,Total,0
2020-01-29,Sexe,MASC,Masculin,0
2020-01-29,Sexe,FEM,Féminin,0
2020-01-29,Sexe,INC,Inconnu,0
2020-01-29,Sexe,TOT,Total,0
2020-01-30,Région,RSS01,01 - Bas-Saint-Laurent,0
2020-01-30,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0
2020-01-30,Région,RSS03,03 - Capitale-Nationale,0
2020-01-30,Région,RSS04,04 - Mauricie et Centre-du-Québec,0
2020-01-30,Région,RSS05,05 - Estrie,0
2020-01-30,Région,RSS06,06 - Montréal,0
2020-01-30,Région,RSS07,07 - Outaouais,0
2020-01-30,Région,RSS08,08 - Abitibi-Témiscamingue,0
2020-01-30,Région,RSS09,09 - Côte-Nord,0
2020-01-30,Région,RSS10,10 - Nord-du-Québec,0
2020-01-30,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-01-30,Région,RSS12,12 - Chaudière-Appalaches,0
2020-01-30,Région,RSS13,13 - Laval,0
2020-01-30,Région,RSS14,14 - Lanaudière,0
2020-01-30,Région,RSS15,15 - Laurentides,0
2020-01-30,Région,RSS16,16 - Montérégie,0
2020-01-30,Région,RSS17,17 - Nunavik,0
2020-01-30,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-01-30,Région,RSS00,Inconnu,0
2020-01-30,Région,RSS98,Hors Québec,0
2020-01-30,Région,RSS99,Ensemble du Québec,0
2020-01-30,Groupe de région,REG01,Montréal et Laval,0
2020-01-30,Groupe de région,REG02,Ceinture de Montréal,0
2020-01-30,Groupe de région,REG03,Autres régions,0
2020-01-30,Groupe de région,REG00,Inconnu,0
2020-01-30,Groupe de région,REG98,Hors Québec,0
2020-01-30,Groupe d'âge,0_9,0-9 ans,0
2020-01-30,Groupe d'âge,10_19,10-19 ans,0
2020-01-30,Groupe d'âge,20_29,20-29 ans,0
2020-01-30,Groupe d'âge,30_39,30-39 ans,0
2020-01-30,Groupe d'âge,40_49,40-49 ans,0
2020-01-30,Groupe d'âge,50_59,50-59 ans,0
2020-01-30,Groupe d'âge,60_69,60-69 ans,0
2020-01-30,Groupe d'âge,70_79,70-79 ans,0
2020-01-30,Groupe d'âge,80_89,80-89 ans,0
2020-01-30,Groupe d'âge,90_,90 ans et plus,0
2020-01-30,Groupe d'âge,INC,Inconnu,0
2020-01-30,Groupe d'âge,TOT,Total,0
2020-01-30,Sexe,MASC,Masculin,0
2020-01-30,Sexe,FEM,Féminin,0
2020-01-30,Sexe,INC,Inconnu,0
2020-01-30,Sexe,TOT,Total,0
2020-01-31,Région,RSS01,01 - Bas-Saint-Laurent,0
2020-01-31,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0
2020-01-31,Région,RSS03,03 - Capitale-Nationale,0
2020-01-31,Région,RSS04,04 - Mauricie et Centre-du-Québec,0
2020-01-31,Région,RSS05,05 - Estrie,0
2020-01-31,Région,RSS06,06 - Montréal,0
2020-01-31,Région,RSS07,07 - Outaouais,0
2020-01-31,Région,RSS08,08 - Abitibi-Témiscamingue,0
2020-01-31,Région,RSS09,09 - Côte-Nord,0
2020-01-31,Région,RSS10,10 - Nord-du-Québec,0
2020-01-31,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-01-31,Région,RSS12,12 - Chaudière-Appalaches,0
2020-01-31,Région,RSS13,13 - Laval,0
2020-01-31,Région,RSS14,14 - Lanaudière,0
2020-01-31,Région,RSS15,15 - Laurentides,0
2020-01-31,Région,RSS16,16 - Montérégie,0
2020-01-31,Région,RSS17,17 - Nunavik,0
2020-01-31,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-01-31,Région,RSS00,Inconnu,0
2020-01-31,Région,RSS98,Hors Québec,0
2020-01-31,Région,RSS99,Ensemble du Québec,0
2020-01-31,Groupe de région,REG01,Montréal et Laval,0
2020-01-31,Groupe de région,REG02,Ceinture de Montréal,0
2020-01-31,Groupe de région,REG03,Autres régions,0
2020-01-31,Groupe de région,REG00,Inconnu,0
2020-01-31,Groupe de région,REG98,Hors Québec,0
2020-01-31,Groupe d'âge,0_9,0-9 ans,0
2020-01-31,Groupe d'âge,10_19,10-19 ans,0
2020-01-31,Groupe d'âge,20_29,20-29 ans,0
2020-01-31,Groupe d'âge,30_39,30-39 ans,0
2020-01-31,Groupe d'âge,40_49,40-49 ans,0
2020-01-31,Groupe d'âge,50_59,50-59 ans,0
2020-01-31,Groupe d'âge,60_69,60-69 ans,0
2020-01-31,Groupe d'âge,70_79,70-79 ans,0
2020-01-31,Groupe d'âge,80_89,80-89 ans,0
2020-01-31,Groupe d'âge,90_,90 ans et plus,0
2020-01-31,Groupe d'âge,INC,Inconnu,0
2020-01-31,Groupe d'âge,TOT,Total,0
2020-01-31,Sexe,MASC,Masculin,0
2020-01-31,Sexe,FEM,Féminin,0
2020-01-31,Sexe,INC,Inconnu,0
2020-01-31,Sexe,TOT,Total,0
2020-02-01,Région,RSS01,01 - Bas-Saint-Laurent,0
2020-02-01,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0
2020-02-01,Région,RSS03,03 - Capitale-Nationale,0
2020-02-01,Région,RSS04,04 - Mauricie et Centre-du-Québec,0
2020-02-01,Région,RSS05,05 - Estrie,0
2020-02-01,Région,RSS06,06 - Montréal,0
2020-02-01,Région,RSS07,07 - Outaouais,0
2020-02-01,Région,RSS08,08 - Abitibi-Témiscamingue,0
2020-02-01,Région,RSS09,09 - Côte-Nord,0
2020-02-01,Région,RSS10,10 - Nord-du-Québec,0
2020-02-01,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-02-01,Région,RSS12,12 - Chaudière-Appalaches,0
2020-02-01,Région,RSS13,13 - Laval,0
2020-02-01,Région,RSS14,14 - Lanaudière,0
2020-02-01,Région,RSS15,15 - Laurentides,0
2020-02-01,Région,RSS16,16 - Montérégie,0
2020-02-01,Région,RSS17,17 - Nunavik,0
2020-02-01,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-02-01,Région,RSS00,Inconnu,0
2020-02-01,Région,RSS98,Hors Québec,0
2020-02-01,Région,RSS99,Ensemble du Québec,0
2020-02-01,Groupe de région,REG01,Montréal et Laval,0
2020-02-01,Groupe de région,REG02,Ceinture de Montréal,0
2020-02-01,Groupe de région,REG03,Autres régions,0
2020-02-01,Groupe de région,REG00,Inconnu,0
2020-02-01,Groupe de région,REG98,Hors Québec,0
2020-02-01,Groupe d'âge,0_9,0-9 ans,0
2020-02-01,Groupe d'âge,10_19,10-19 ans,0
2020-02-01,Groupe d'âge,20_29,20-29 ans,0
2020-02-01,Groupe d'âge,30_39,30-39 ans,0
2020-02-01,Groupe d'âge,40_49,40-49 ans,0
2020-02-01,Groupe d'âge,50_59,50-59 ans,0
2020-02-01,Groupe d'âge,60_69,60-69 ans,0
2020-02-01,Groupe d'âge,70_79,70-79 ans,0
2020-02-01,Groupe d'âge,80_89,80-89 ans,0
2020-02-01,Groupe d'âge,90_,90 ans et plus,0
2020-02-01,Groupe d'âge,INC,Inconnu,0
2020-02-01,Groupe d'âge,TOT,Total,0
2020-02-01,Sexe,MASC,Masculin,0
2020-02-01,Sexe,FEM,Féminin,0
2020-02-01,Sexe,INC,Inconnu,0
2020-02-01,Sexe,TOT,Total,0
2020-02-02,Région,RSS01,01 - Bas-Saint-Laurent,0
2020-02-02,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,0
2020-02-02,Région,RSS03,03 - Capitale-Nationale,0
2020-02-02,Région,RSS04,04 - Mauricie et Centre-du-Québec,0
2020-02-02,Région,RSS05,05 - Estrie,0
2020-02-02,Région,RSS06,06 - Montréal,0
2020-02-02,Région,RSS07,07 - Outaouais,0
2020-02-02,Région,RSS08,08 - Abitibi-Témiscamingue,0
2020-02-02,Région,RSS09,09 - Côte-Nord,0
2020-02-02,Région,RSS10,10 - Nord-du-Québec,0
2020-02-02,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-02-02,Région,RSS12,12 - Chaudière-Appalaches,0
2020-02-02,Région,RSS13,13 - Laval,0
2020-02-02,Région,RSS14,14 - Lanaudière,0
2020-02-02,Région,RSS15,15 - Laurentides,0
2020-02-02,Région,RSS16,16 - Montérégie,0
2020-02-02,Région,RSS17,17 - Nunavik,0
2020-02-02,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0
2020-02-02,Région,RSS00,Inconnu,0
2020-02-02,Région,RSS98,Hors Québec,0
2020-02-02,Région,RSS99,Ensemble du Québec,0
2020-02-02,Groupe de région,REG01,Montréal et Laval,0
2020-02-02,Groupe de région,REG02,Ceinture de Montréal,0
2020-02-02,Groupe de région,REG03,Autres régions,0
2020-02-02,Groupe de région,REG00,Inconnu,0
2020-02-02,Groupe de région,REG98,Hors Québec,0
2020-02-02,Groupe d'âge,0_9,0-9 ans,0
2020-02-02,Groupe d'âge,10_19,10-19 ans,0
2020-02-02,Groupe d'âge,20_29,20-29 ans,0
