horizon,mae,rmse,mlpd,cov90
14,830.7857142857143,845.4986271848278,-13074.318985272903,0.0
14,886.7857142857143,902.9238616849153,-13954.885210639384,0.0
14,925.5714285714286,942.645668924892,-14564.766745634939,0.0
14,905.2857142857143,925.9921320245808,-14245.782376061425,0.0
14,860.5,880.8984455818795,-13541.55198980399,0.0
14,834.7142857142857,853.3422525575538,-13136.087558026979,0.0
14,784.7857142857143,800.2417938169866,-12350.989924216468,0.0
14,757.5,772.2656371260567,-11921.935137163122,0.0
14,822.3571428571429,839.2771975251766,-12941.781252694902,0.0
14,962.9285714285714,983.3189062702758,-15152.179908710405,0.0
14,1047.7142857142858,1068.260000454678,-16485.373275329835,0.0
14,1080.5,1101.0122290744225,-17000.902519766987,0.0
14,1061.9285714285713,1094.3290508017099,-16708.866605941086,0.0
14,935.9285714285714,979.5745796736751,-14727.593394478405,0.0
14,818.8571428571429,850.7909765120254,-12886.724417645684,0.0
14,705.0714285714286,728.8305211579908,-11097.501371181384,0.0
14,573.4285714285714,586.995862725746,-9027.449138950647,0.0
14,478.5,489.7637185419108,-7534.682869772899,0.0
14,450.0,460.1071303822311,-7086.509597467268,0.0
14,489.85714285714283,499.86155226079495,-7713.279514399989,0.0
14,501.7857142857143,509.086366514984,-7900.867438746771,0.0
14,479.2857142857143,487.688278660516,-7547.045348219972,0.0
14,467.07142857142856,477.47887013832496,-7354.965713708834,0.0
14,440.14285714285717,451.1182930071826,-6931.498783197652,0.0
14,406.2857142857143,414.83817843312625,-6399.078413049446,0.0
14,381.57142857142856,388.11412165569476,-6010.43111453056,0.0
14,365.07142857142856,371.298589893825,-5750.953351844912,0.0
14,361.0,367.57001276724725,-5686.92459499171,0.0
14,372.7142857142857,382.97855217827987,-5871.1326544523645,0.0
14,368.85714285714283,378.8463691637699,-5810.477099477485,0.0
14,331.92857142857144,339.338958228242,-5229.740752922435,0.0
14,294.42857142857144,303.5000588373678,-4639.991970169662,0.0
14,254.28571428571428,262.54877097952135,-4008.6679476592485,0.0
14,226.57142857142858,231.24229716900842,-3572.8031656131907,0.0
14,210.0,215.48848162787198,-3312.165818483288,0.0
14,195.14285714285714,200.00035714253826,-3078.4915996567984,0.0
14,170.07142857142858,174.7931430495569,-2684.1477663865458,0.0
14,131.42857142857142,134.9026103739816,-2076.3003800892734,0.0
14,104.35714285714286,107.7646244632917,-1650.4150363598126,0.0
14,93.57142857142857,95.68176419778223,-1480.7299355854386,0.0
14,93.0,94.5613935116078,-1471.7454690367176,0.0
14,91.78571428571429,93.61127831928923,-1452.6338144817512,0.0
14,93.35714285714286,95.50878792775339,-1477.3541014996922,0.0
14,98.5,101.21935162239058,-1558.2646567729178,0.0
14,118.07142857142857,121.45281270635816,-1866.1676702593145,0.0
14,164.14285714285714,169.6946838126808,-2590.887912028852,0.0
14,216.42857142857142,221.56198745659032,-3413.2733220233363,0.0
14,258.85714285714283,263.899060789754,-4080.5723338586868,0.0
14,313.85714285714283,320.6185985158779,-4945.542180388585,0.0
14,379.7857142857143,388.0586295909421,-5982.345066834862,0.0
14,447.07142857142856,456.0581886432601,-7040.459280985674,0.0
14,546.3571428571429,560.5961750035149,-8601.748037793172,0.0
14,656.5714285714286,671.9031605394167,-10334.859983076603,0.0
14,723.0714285714286,743.1114605879409,-11380.549956573614,0.0
14,622.7857142857143,654.4243380909013,-9803.56220809279,0.0
14,505.2142857142857,516.8764013627574,-7954.7729774282925,0.0
14,501.5,509.81796471177546,-7896.370746536272,0.0
14,486.57142857142856,493.70653515741805,-7661.617551823384,0.0
14,498.7142857142857,506.66246865428775,-7852.567014244222,0.0
14,557.3571428571429,567.0610322405466,-8774.733398465994,0.0
14,616.7857142857143,625.5025979162676,-9709.247692144807,0.0
14,681.7142857142857,694.3917173633749,-10730.232601022999,0.0
14,749.6428571428571,766.4150777669836,-11798.380669482312,0.0
14,834.5,856.2983041640838,-13132.714590249905,0.0
14,858.7857142857143,880.8834445357359,-13514.594513461141,0.0
14,758.6428571428571,787.5976583437583,-11939.88403886709,0.0
14,661.3571428571429,690.9173508562986,-10410.094026482951,0.0
14,544.7142857142857,570.9946209403878,-8575.892923537533,0.0
14,385.64285714285717,403.0824977594537,-6074.430046852717,0.0
14,277.85714285714283,286.08665021033653,-4379.375348077218,0.0
14,228.71428571428572,235.59741691526003,-3606.4967755661096,0.0
14,193.0,198.73061450832668,-3044.7836157100323,0.0
14,169.14285714285714,172.90335863878246,-2669.5466004974596,0.0
