horizon,mae,rmse,mlpd,cov90
7,540.2157236739195,540.452108031004,-6.5999007760081145,1.0
7,546.0632987475941,546.6203560276219,-6.565853988760182,1.0
7,519.4382424792135,520.5964733790107,-6.584641524407248,1.0
7,445.44676390520993,447.1960212423545,-6.68285839505357,1.0
7,371.6286864431391,376.1108718705676,-6.784280999405594,1.0
7,255.09945325004105,265.33482624947806,-6.960864401856758,1.0
7,112.92450222868301,123.65692950959065,-7.395467570640059,1.0
7,437.7568840384919,461.8423069518755,-8.119326084928876,1.0
7,428.6953118531614,440.1117073330171,-8.100406405382014,1.0
7,470.2825177824524,501.5342299761982,-8.171167842825396,1.0
7,374.1046837390074,383.82161373160454,-7.998288326990015,1.0
7,371.7465467143215,386.4513424248739,-7.990606967161901,1.0
7,536.7915251354918,562.2935931853185,-8.28665469680722,1.0
7,758.2504581139217,761.446852750463,-8.69126565280372,1.0
7,619.5617490835292,624.0493051344899,-8.43872813190241,1.0
7,728.734344752014,745.3834274500355,-8.644277621260569,1.0
7,959.6335531427816,974.2829328482889,-9.082736597900164,0.5714285714285714
7,1198.9811324832676,1210.906777744466,-9.545198177621776,0.2857142857142857
7,1430.0696534411272,1439.3542234721526,-10.00028622040996,0.0
7,1696.9054224451756,1704.291995960205,-10.532673742283285,0.0
7,1995.4942534487807,2031.6980227086017,-11.136690994694748,0.0
7,2030.270089481343,2037.0888662270618,-11.230586180298165,0.0
7,1535.2379036667191,1540.1293162370132,-10.272193802966285,0.0
7,1059.2594520531281,1068.4498303676748,-9.335806783557668,0.2857142857142857
7,781.767593302975,786.0097916304387,-8.784411915257285,1.0
7,588.7663187372458,603.2327904874527,-8.395956298108233,1.0
7,477.8307789844104,495.7897487314112,-8.169621262615822,1.0
7,291.67873625735757,297.8595534925871,-7.783493312912469,1.0
7,303.31344264094685,312.91283421931513,-7.80471799092103,1.0
7,230.16651614542207,257.63135338449825,-7.647816396620134,1.0
7,252.66938623191703,276.550905040865,-7.691563177361981,1.0
7,313.6818804773461,351.0419074039098,-7.818524115697593,1.0
7,378.0636668700132,430.032986371828,-7.954982272168114,1.0
7,660.5314090550343,683.9044534777584,-8.56810799640711,0.7142857142857143
7,1158.6587775407672,1229.077402872274,-9.664140919142612,0.42857142857142855
7,1076.3050312847065,1081.342479499355,-9.492565057895522,0.0
7,713.9007412031339,718.4070440688462,-8.696599458105213,0.8571428571428571
7,588.5906557060551,598.5252706220075,-8.4205587187441,1.0
7,477.23370834572603,482.2044414769718,-8.171214878106573,1.0
7,360.2601676566382,369.4850414697672,-7.905610782757061,1.0
7,184.52878639807977,198.92048184225985,-7.500936032259168,1.0
7,31.093666195394935,38.16936048451645,-7.029313634060794,1.0
7,154.3443167721113,157.18434556389872,-6.703394318983588,1.0
7,232.91177606082687,234.93187966966912,-6.509215028859801,1.0
7,276.0885412106033,277.1200675887747,-6.395914406455826,1.0
7,324.01621674881073,324.14313440418937,-6.269749111411239,1.0
7,339.8364657014493,340.33922222177324,-6.218954409150025,1.0
7,343.69100603470037,344.345590423537,-6.196569521339561,1.0
7,335.2930359357647,335.6864315257281,-6.203828797124686,1.0
7,311.3558021945513,312.2520469531954,-6.249462604247193,1.0
7,282.44974023690537,284.28720208779566,-6.308205560939923,1.0
7,187.43104293237243,195.96041171054804,-6.532296760290608,1.0
7,65.93012267501207,96.07966553857621,-6.835760963166065,1.0
7,80.41615237848889,103.90243583766032,-7.138181090756364,1.0
7,121.6182345038563,152.93339602362994,-7.231843765377334,1.0
7,226.6448635166517,254.66058475688538,-7.549139837140176,1.0
7,319.38249524931206,355.60326689173326,-7.785096375138502,1.0
7,352.09482395575117,361.4676766248172,-7.868345752404431,1.0
7,303.925414200164,311.58193376212506,-7.7419377681045,1.0
7,200.01780279566626,211.68233883382032,-7.46733645613371,1.0
7,149.22978591813376,171.84841248022354,-7.329852399085731,1.0
7,209.27627756035196,244.32052014232337,-7.485842635484589,1.0
