param,grid,negloglik
beta0,0.05,9835.06052780258
beta0,0.0975,9827.630044715594
beta0,0.14500000000000002,9827.82162530205
beta0,0.1925,9827.557524317219
beta0,0.24,9827.65270326197
beta0,0.2875,9827.214039551905
beta0,0.335,9827.286459961895
beta0,0.3825,994405.7200663547
beta0,0.43,9826.869548183186
beta0,0.4775,9826.779835706397
beta0,0.525,9827.13199752616
beta0,0.5725,9827.433960656228
beta0,0.6200000000000001,9827.6823389139
beta0,0.6675000000000001,9827.222203959953
beta0,0.7150000000000001,9827.052500764376
beta0,0.7625000000000001,9827.356634863641
beta0,0.81,9827.075850558029
beta0,0.8575,9827.002417008822
beta0,0.905,9826.736837946455
beta0,0.9525,9826.738387602201
beta0,1.0,9827.528777113464
