,0
N,8800000
rho,0.095
epsilon,0.25
phi,0.25
compliance_max,0.8
beta_floor,0.1
obs,"{'delay_sd': 2.0, 'delay_maxlag': 14}"
y0_anchor_weight,100
I0_anchor,18027.251535182502
C0_anchor,19283.718736311494
R0_anchor,7704745.276818374
P0_anchor,0.03128937569323373
F0_anchor,0.03305699690395123
beta0,2.0
gamma,0.08862606563133309
alpha,0.07133622181708235
rho_obs,1.0
delta,0.0
k,7.171920068940796
log_theta,1.7643112701679549
I0,18027.251527666638
C0,19283.71874516499
P0,0.0057871245999768835
F0,0.033024885663963555
R0,7704745.27680674
a1,0.12785284304027053
b1,-0.10498902113833254
a2,0.04456864892513119
b2,0.012160622977286394
delay_mean,2.976835548906488
