mu,inc,y
3047.1626930020716,0.0,527.0
2922.495472640837,5844.190542983124,825.0
3526.4097528287425,5392.728811471374,737.0
4085.7232191112084,4867.10584309441,865.0
4364.824793557765,4353.6732731472,737.0
4380.092070385257,3907.0223996370332,688.0
4221.497386030211,3546.36762122903,579.0
3977.2333785215283,3266.8303193055326,596.0
3710.125195617972,3052.923398838844,743.0
3456.4869515416754,2887.601813796442,715.0
3232.684069015585,2756.4027508501895,922.0
3042.6459971783315,2648.4823802929604,818.0
2883.8009094153067,2556.254743498517,640.0
2750.962250686098,2474.6295812603785,571.0
2638.5193454251066,2400.2766924668103,664.0
2541.8950825583515,2331.04981028114,1054.0
2455.6655775302497,2265.5769942816114,916.0
2378.079096904492,2202.9848838900216,826.0
2306.778048449563,2142.714387426735,791.0
2240.116666805993,2084.4067624626914,600.0
2176.9676069648804,2027.828411327093,491.0
2116.570577082781,1972.824032731005,1075.0
2058.418529966536,1919.2877143386286,969.0
2002.1749619718735,1867.1438447610708,1033.0
1947.6158353310107,1816.3361719840905,820.0
1894.5900781986354,1766.8204032741487,899.0
1842.9933790560463,1718.5597923736786,942.0
1792.7511436619316,1671.5223342010286,860.0
1743.8075657564514,1625.6790398120647,986.0
1696.118688416042,1581.0028554961318,1264.0
1649.6480319533819,1537.4680189861683,1151.0
1604.3638517124468,1495.0496254217578,1305.0
1560.2374233783717,1453.7233869846677,1331.0
1517.2419786148466,1413.465498546837,1244.0
1475.3520466831892,1374.2525395521661,1108.0
1434.5430487103915,1336.0614257435082,1220.0
1394.791050114422,1298.8693855478195,1942.0
1356.0726115463108,1262.6539477189071,1612.0
1318.3647013351133,1227.3929410601268,2272.0
1281.6446457182158,1193.0644949178677,1903.0
1245.8901021453767,1159.6470442060381,1658.0
1211.0790466545468,1127.1193357326556,1413.0
1177.1897696435758,1095.4604344108375,1418.0
1144.2008764312568,1064.649729371653,1542.0
1112.0912904031711,1034.6669396322686,1555.0
1080.840257381875,1005.4921191228786,1682.0
1050.4273503984095,977.1056609904626,1432.0
1020.8324743590337,949.4883011549246,1230.0
992.0358703157854,922.6211211174959,1056.0
964.0181191838465,896.4855500468984,1154.0
936.7601448224949,871.0633661702741,1273.0
910.2432164496981,846.3366975166136,1135.0
884.4489503918837,822.2880220481893,1057.0
859.3593111873938,798.9001672257436,1234.0
834.9566123978327,776.156311571016,840.0
811.2235166244789,754.0399792569224,904.0
788.1430333582523,732.535029659397,1037.0
765.6985182987412,711.6256786747836,1104.0
743.8736730208293,691.2964784397045,1140.0
722.6525426593836,671.5323177442187,1100.0
702.0195132348326,652.3184193347115,1113.0
681.9593087850801,633.6403363652062,895.0
662.4569882499995,615.4839485771954,836.0
643.4979420904733,597.8354582671309,855.0
625.0678886513542,580.6813860555412,885.0
607.152870288966,564.008566487697,927.0
589.7392492873803,547.8041434834013,1015.0
572.8137035874083,532.0555656563956,1022.0
556.3632223507914,516.7505815201439,718.0
540.3751013806616,501.877234602347,683.0
524.8369384190794,487.42385847866535,729.0
509.73662833967694,473.37907174113207,818.0
495.0623582477385,459.7317729194183,867.0
480.8026025104179,446.4711353612365,892.0
466.94611772679855,433.5866020875983,886.0
453.4819376521849,421.0678806344513,626.0
440.39936808862416,408.904937883839,539.0
427.6879817530495,397.08799490414094,562.0
415.33761313343155,385.6075217969483,618.0
403.3383533425175,374.45423256780487,786.0
391.68054497769083,363.61908001755364,618.0
380.3547769951065,353.0932506722165,591.0
369.3518796054733,342.8681597459363,431.0
358.6629191978663,332.93544614932034,376.0
348.27919239600334,323.2869605177548,380.0
338.19222282010844,313.9147874927148,459.0
328.39375663393884,304.811204979429,452.0
318.8757553638918,295.96869227057323,428.0
309.6303911939204,287.37993553234264,376.0
300.65004301725855,279.0378142228583,317.0
291.9272918940467,270.9353991425596,237.0
283.45491638540466,263.06594624370337,267.0
275.22588708839754,255.4228872533422,302.0
267.2333623447939,247.99983852554578,298.0
259.47068445557875,240.79058672534302,269.0
251.9313744020771,233.78908124309964,233.0
244.60912873032436,226.98945130954962,199.0
237.49781562422476,220.38597419729922,165.0
230.59146895905286,213.97308125917334,161.0
223.8842843227403,207.74536186130717,204.0
217.3706156452908,201.6975526099559,253.0
211.04497127566384,195.82453466241714,205.0
204.90201006304653,190.12133021617774,164.0
198.93653752988143,184.58309889293741,142.0
193.143502135439,179.20513420563657,122.0
187.51799162171756,173.98286009661388,113.0
182.0552294383795,168.91182755073532,167.0
176.7505712448505,163.98771128279623,169.0
171.5995014856765,159.2063064982649,179.0
166.597630042305,154.5635257269023,135.0
161.74068895870082,150.05539572809357,93.0
157.02452923651708,145.67805446544662,97.0
152.44511770697835,141.42774815333541,102.0
147.99853397152685,137.30082837154623,110.0
143.68096741165547,133.29374924709555,86.0
139.48871426956913,129.40306470519863,81.0
135.41817479679904,125.62542578263674,101.0
131.46585046998828,121.95757800876163,75.0
127.62834127308271,118.39635884936433,55.0
123.90234304472479,114.93869521236047,95.0
120.28464488986364,111.58160101657268,109.0
116.77212665427547,108.32217481767293,78.0
113.3617564611499,105.15759749826975,73.0
110.0505883084768,102.08513001026586,53.0
106.83575972604032,99.10211117879953,52.0
103.71448949120617,96.20595556043554,37.0
100.68407540199107,93.39415135397576,95.0
97.74189210643411,90.66425836831331,80.0
94.88538898723216,88.01390603999607,99.0
92.11208810034076,85.4407915029442,62.0
89.41958216655567,82.94267770892475,65.0
86.80553261950018,80.51739163172897,64.0
84.2676676915977,78.16282235295512,60.0
81.80378055354555,75.8769194826018,52.0
79.41172751675273,73.6576914305333,88.0
77.08942627550968,71.50320371845737,85.0
74.83485418872037,69.41157738561742,98.0
72.64604660916913,67.38098744815215,81.0
70.52109525930783,65.40966137393843,73.0
