param,grid,negloglik
beta0,0.05,1e+50
beta0,0.0975,1e+50
beta0,0.14500000000000002,1e+50
beta0,0.1925,1e+50
beta0,0.24,1e+50
beta0,0.2875,1e+50
beta0,0.335,1e+50
beta0,0.3825,1e+50
beta0,0.43,1e+50
beta0,0.4775,1e+50
beta0,0.525,1e+50
beta0,0.5725,1e+50
beta0,0.6200000000000001,1e+50
beta0,0.6675000000000001,1e+50
beta0,0.7150000000000001,1e+50
beta0,0.7625000000000001,1e+50
beta0,0.81,1e+50
beta0,0.8575,1e+50
beta0,0.905,1e+50
beta0,0.9525,1e+50
beta0,1.0,1e+50
