horizon,mae,rmse,mlpd,cov90
7,72.14285714285714,72.43223433961272,-1337.9716635538646,0.0
7,72.0,74.8178741058197,-1335.2890741041458,0.0
7,96.0,99.2126144053409,-1778.6554244825622,0.0
7,142.57142857142858,147.12579651441143,-2638.8337559597244,0.0
7,156.28571428571428,158.39823231336896,-2892.136874653736,0.0
7,133.71428571428572,135.66555516100195,-2475.2737546618673,0.0
7,124.28571428571429,125.25402759421124,-2301.1394366492564,0.0
7,84.71428571428571,86.40684496695188,-1570.1996671528864,0.0
7,83.14285714285714,85.8270686571883,-1541.1539091110094,0.0
7,102.0,107.43901924879461,-1889.4558851305653,0.0
7,178.14285714285714,181.97448800783664,-3295.781590359766,0.0
7,246.14285714285714,254.84364954670878,-4551.505494051537,0.0
7,356.7142857142857,365.7897522582376,-6593.266421957405,0.0
7,659.0,673.2056573907093,-12174.749979382663,0.0
7,1042.5714285714287,1051.0518540966473,-19256.836906594664,0.0
7,993.0,997.8570610491837,-18341.58627156934,0.0
7,1029.2857142857142,1044.7083666883173,-19011.530819274576,0.0
7,937.0,940.8263085485773,-17307.638695213256,0.0
7,953.2857142857143,960.0597451647029,-17608.32478691263,0.0
7,1117.7142857142858,1131.751613334708,-20644.214505650987,0.0
7,1285.0,1288.1594289084385,-23732.851334003364,0.0
7,1153.5714285714287,1156.197647463443,-21306.26307153822,0.0
7,1290.2857142857142,1297.723721422575,-23830.43863891742,0.0
7,1551.5714285714287,1559.243818558947,-28654.575970793805,0.0
7,1748.142857142857,1756.897874908255,-32283.870663332975,0.0
7,1993.4285714285713,2000.9695507071422,-36812.561575082706,0.0
7,2197.8571428571427,2204.127394555172,-40586.899691129634,0.0
7,2539.714285714286,2563.7156071385366,-46898.53972705292,0.0
7,2494.0,2506.0297569775867,-46054.529801686775,0.0
7,2008.7142857142858,2014.4828120388618,-37094.78088602625,0.0
7,1501.5714285714287,1505.971969004925,-27731.426908954156,0.0
7,1250.5714285714287,1252.4482310373437,-23097.192521444522,0.0
7,1059.7142857142858,1066.4066498560214,-19573.35171144153,0.0
7,926.0,935.2157886972244,-17104.536182932476,0.0
7,764.5714285714286,766.7448821385861,-14124.005952113794,0.0
7,768.8571428571429,773.6905989199706,-14203.132290865866,0.0
