,0
N,8800000
rho,0.095
epsilon,0.25
phi,0.25
compliance_max,0.8
beta_floor,0.1
obs,"{'delay_sd': 2.0, 'delay_maxlag': 14}"
beta0,1.250525636478059
gamma,0.3918072687399152
alpha,0.1444172718402476
rho_obs,0.9973596021597411
delta,0.025483075236365397
k,3.5392088648602087
log_theta,3.5846899981417146
I0,13.465855709058289
C0,1361.8955962408331
P0,0.4087608977212979
F0,0.5159417154535926
R0,3089.6576755812052
a1,-0.025570376330554687
b1,0.19999658169025736
a2,-0.017343025527300576
b2,-0.06198771971937769
delay_mean,4.612438564429915
