param,grid,negloglik
alpha,0.0,21873.2202404549
alpha,0.1,21872.46751350113
alpha,0.2,21872.83487179139
alpha,0.30000000000000004,21872.409455683155
alpha,0.4,21872.402538378574
alpha,0.5,21872.688160765396
alpha,0.6000000000000001,21872.70030188267
alpha,0.7000000000000001,21872.40542291685
alpha,0.8,25295.959231704328
alpha,0.9,21872.6369178457
alpha,1.0,21872.683975168304
alpha,1.1,21872.71541308093
alpha,1.2000000000000002,21872.69993115101
alpha,1.3,21872.70230261769
alpha,1.4000000000000001,21872.653460591315
alpha,1.5,21872.702746724288
alpha,1.6,21872.695512700604
alpha,1.7000000000000002,21872.700470162865
alpha,1.8,21872.721543942334
alpha,1.9000000000000001,21872.731486744626
alpha,2.0,21872.71492179175
