date,cases
2023-03-08,451
2023-03-09,425
2023-03-10,391
2023-03-11,273
2023-03-12,284
2023-03-13,483
2023-03-14,471
2023-03-15,425
2023-03-16,401
2023-03-17,408
2023-03-18,285
2023-03-19,277
2023-03-20,450
2023-03-21,437
2023-03-22,419
2023-03-23,364
2023-03-24,352
2023-03-25,286
2023-03-26,248
2023-03-27,437
2023-03-28,412
2023-03-29,441
2023-03-30,368
2023-03-31,340
2023-04-01,280
2023-04-02,276
2023-04-03,425
2023-04-04,442
2023-04-05,386
2023-04-06,408
2023-04-07,335
2023-04-08,256
2023-04-09,248
2023-04-10,343
2023-04-11,474
2023-04-12,505
2023-04-13,474
2023-04-14,412
2023-04-15,234
2023-04-16,294
2023-04-17,454
2023-04-18,428
2023-04-19,357
2023-04-20,321
2023-04-21,348
2023-04-22,272
2023-04-23,224
2023-04-24,449
2023-04-25,354
2023-04-26,329
2023-04-27,310
2023-04-28,274
2023-04-29,233
2023-04-30,206
2023-05-01,410
2023-05-02,356
2023-05-03,283
2023-05-04,248
2023-05-05,238
2023-05-06,208
2023-05-07,166
2023-05-08,298
2023-05-09,240
2023-05-10,247
2023-05-11,264
2023-05-12,238
2023-05-13,158
2023-05-14,173
2023-05-15,283
2023-05-16,268
2023-05-17,248
2023-05-18,197
2023-05-19,237
2023-05-20,155
2023-05-21,144
2023-05-22,175
2023-05-23,279
2023-05-24,243
2023-05-25,215
2023-05-26,185
2023-05-27,138
2023-05-28,141
2023-05-29,237
2023-05-30,240
2023-05-31,209
2023-06-01,194
2023-06-02,199
2023-06-03,133
2023-06-04,111
2023-06-05,174
2023-06-06,182
2023-06-07,157
2023-06-08,145
2023-06-09,146
2023-06-10,113
2023-06-11,98
2023-06-12,167
2023-06-13,120
2023-06-14,126
2023-06-15,130
2023-06-16,88
2023-06-17,83
2023-06-18,66
2023-06-19,109
2023-06-20,108
2023-06-21,124
2023-06-22,97
2023-06-23,79
2023-06-24,66
2023-06-25,74
2023-06-26,128
2023-06-27,113
2023-06-28,101
2023-06-29,84
2023-06-30,85
2023-07-01,76
2023-07-02,72
2023-07-03,112
2023-07-04,102
2023-07-05,107
2023-07-06,91
2023-07-07,86
2023-07-08,71
2023-07-09,61
2023-07-10,97
2023-07-11,105
2023-07-12,102
2023-07-13,106
2023-07-14,115
2023-07-15,58
2023-07-16,58
2023-07-17,119
2023-07-18,98
2023-07-19,94
2023-07-20,97
2023-07-21,115
2023-07-22,82
2023-07-23,53
2023-07-24,106
2023-07-25,126
2023-07-26,135
2023-07-27,118
2023-07-28,99
2023-07-29,79
2023-07-30,88
2023-07-31,129
2023-08-01,147
2023-08-02,142
2023-08-03,139
2023-08-04,158
2023-08-05,134
2023-08-06,110
2023-08-07,221
2023-08-08,217
2023-08-09,231
2023-08-10,194
2023-08-11,209
2023-08-12,179
2023-08-13,155
2023-08-14,270
2023-08-15,246
2023-08-16,273
2023-08-17,286
2023-08-18,254
2023-08-19,185
2023-08-20,183
2023-08-21,313
2023-08-22,320
2023-08-23,290
2023-08-24,322
2023-08-25,295
2023-08-26,232
2023-08-27,239
2023-08-28,383
2023-08-29,430
2023-08-30,343
2023-08-31,387
2023-09-01,377
2023-09-02,280
2023-09-03,300
2023-09-04,326
2023-09-05,515
2023-09-06,517
2023-09-07,461
2023-09-08,413
2023-09-09,346
2023-09-10,350
2023-09-11,557
2023-09-12,539
2023-09-13,576
2023-09-14,510
2023-09-15,473
2023-09-16,376
2023-09-17,379
2023-09-18,739
2023-09-19,745
2023-09-20,633
2023-09-21,667
2023-09-22,649
2023-09-23,456
2023-09-24,467
2023-09-25,864
2023-09-26,835
2023-09-27,755
2023-09-28,728
2023-09-29,752
2023-09-30,523
2023-10-01,588
2023-10-02,1069
2023-10-03,907
2023-10-04,823
2023-10-05,743
2023-10-06,630
2023-10-07,439
2023-10-08,403
2023-10-09,470
2023-10-10,707
2023-10-11,624
2023-10-12,510
2023-10-13,467
2023-10-14,339
2023-10-15,371
2023-10-16,591
2023-10-17,565
2023-10-18,578
2023-10-19,554
2023-10-20,565
2023-10-21,329
2023-10-22,390
2023-10-23,592
2023-10-24,550
2023-10-25,523
2023-10-26,545
2023-10-27,511
2023-10-28,357
2023-10-29,338
2023-10-30,578
2023-10-31,518
2023-11-01,554
2023-11-02,505
2023-11-03,487
2023-11-04,364
2023-11-05,422
2023-11-06,528
2023-11-07,692
