param,grid,negloglik
k,0.5,54730.09088236592
k,0.9791666666666667,54730.2635599148
k,1.4583333333333335,54730.24480430329
k,1.9375,54731.435373651235
k,2.416666666666667,54730.34917900657
k,2.8958333333333335,54730.24974786805
k,3.375,54730.208456559514
k,3.854166666666667,54733.546734924894
k,4.333333333333334,54731.72734594061
k,4.8125,54731.670933642796
k,5.291666666666667,58671.82868887645
k,5.770833333333334,55001.47428960786
k,6.25,54730.17700151651
k,6.729166666666667,54730.175494342075
k,7.208333333333334,54730.12332578938
k,7.6875,54730.17811004786
k,8.166666666666668,54730.25033773106
k,8.645833333333334,54730.172755368556
k,9.125,54730.075193080476
k,9.604166666666668,54730.17688587399
k,10.083333333333334,54730.197530402984
k,10.5625,54730.12967679918
k,11.041666666666668,54730.21597713409
k,11.520833333333334,54730.130062519056
k,12.0,54730.202101175244
