,0
N,8800000
rho,0.095
epsilon,0.25
phi,0.25
compliance_max,0.8
beta_floor,0.1
obs,"{'delay_sd': 2.0, 'delay_maxlag': 14}"
beta0,0.9195018965341487
gamma,0.23192369074785527
alpha,0.44022975412369353
rho_obs,0.14490531306355867
delta,0.15272540937192206
k,5.027603666716955
log_theta,2.951060569450547
I0,3607.175033578044
C0,3382.0447442162254
P0,0.95
F0,0.8744379124142834
R0,2691.8468592807894
a1,0.09492960512897151
b1,-0.015632301089531973
a2,0.010475932314155875
b2,0.029356371138513065
delay_mean,3.634558333070064
