param,grid,negloglik
k,0.5,5097.049744345869
k,0.9791666666666667,5097.094290007813
k,1.4583333333333335,5097.019939006195
k,1.9375,5097.065536502658
k,2.416666666666667,5097.008550708867
k,2.8958333333333335,5097.273756459405
k,3.375,5097.026154424012
k,3.854166666666667,5097.011162573327
k,4.333333333333334,5097.011456265031
k,4.8125,5097.011879927971
k,5.291666666666667,5097.0282698952915
k,5.770833333333334,5096.998368360913
k,6.25,5096.998011867533
k,6.729166666666667,5097.047503524129
k,7.208333333333334,5097.095271415415
k,7.6875,5097.013648089772
k,8.166666666666668,5096.989669499773
k,8.645833333333334,5097.024458371291
k,9.125,5097.04429295372
k,9.604166666666668,5097.090070482809
k,10.083333333333334,5097.0703495128055
k,10.5625,5096.996617086951
k,11.041666666666668,5097.856110736479
k,11.520833333333334,5096.996554592389
k,12.0,5097.02302153882
