param,grid,negloglik
k,0.5,1142.276388040088
k,0.9791666666666667,1134.82269899912
k,1.4583333333333335,1134.6500441812677
k,1.9375,1134.6087162378253
k,2.416666666666667,1134.5652098152632
k,2.8958333333333335,1144.2453495121513
k,3.375,1134.4795091755107
k,3.854166666666667,1134.4360540390771
k,4.333333333333334,1134.3926603999735
k,4.8125,1134.3487823747255
k,5.291666666666667,1124.0731182731654
k,5.770833333333334,1134.2608018902138
k,6.25,1134.216424551295
k,6.729166666666667,1134.1720255029284
k,7.208333333333334,1134.1272388523091
k,7.6875,1156.1059150380577
k,8.166666666666668,1156.6847384342698
k,8.645833333333334,1133.9930288272662
k,9.125,1133.9481578430652
k,9.604166666666668,1133.9029787598815
k,10.083333333333334,1155.8798610945291
k,10.5625,1133.8128884591554
k,11.041666666666668,1133.7676356488973
k,11.520833333333334,1133.7225556886472
k,12.0,1133.6773285114475
