param,grid,negloglik
alpha,0.0,2186.62531694627
alpha,0.1,2170.342797175198
alpha,0.2,2170.448008306666
alpha,0.30000000000000004,2170.509607020757
alpha,0.4,2172.0857961829192
alpha,0.5,2211.1653572716828
alpha,0.6000000000000001,2171.6384074246357
alpha,0.7000000000000001,2171.697626559778
alpha,0.8,2171.4642550725057
alpha,0.9,2178.165066242839
alpha,1.0,2169.9656260211655
alpha,1.1,2169.0994986640417
alpha,1.2000000000000002,2172.217527286921
alpha,1.3,2169.4204226649695
alpha,1.4000000000000001,2206.47159795579
alpha,1.5,2169.133145576165
alpha,1.6,2168.780578531859
alpha,1.7000000000000002,2168.8609527754493
alpha,1.8,2178.2275016127246
alpha,1.9000000000000001,2170.1541907172673
alpha,2.0,2171.02750744067
