mu,inc,y
1e-12,0.0,59.0
60.903882084548094,380.45354231260717,93.0
153.03999773160118,359.37820984609425,111.0
224.0561579434982,343.19699006713927,94.0
268.1010880833641,330.26203423924744,131.0
291.4095920096024,319.6883176751435,114.0
301.3397816986095,310.97674501128495,97.0
303.53281061211777,303.82774271443486,66.0
301.70634807751424,298.0496977455914,123.0
298.1187704976121,293.5128095652908,119.0
294.06806441575344,290.1251170411706,132.0
290.2667837092655,287.8194986358285,150.0
287.0883719912296,286.5463564135134,170.0
284.71770952404825,286.26930000446737,158.0
283.23895906054213,286.96246873401105,136.0
282.685119656846,288.60877648741007,177.0
283.0136463878488,291.19868542812765,204.0
284.30289307708966,294.7292859442532,275.0
286.53693563440856,299.20355330593884,286.0
289.70814528431146,304.62969534657896,266.0
293.81569810239347,311.02053590491414,268.0
298.86452288392206,318.3928929101676,217.0
304.8644641870458,326.7669150456786,284.0
311.82953430121796,336.16534383408725,390.0
319.7771767759354,346.6126712728292,391.0
328.72749294044576,358.1341912653297,409.0
338.7023857833666,370.7548419088125,401.0
349.72458900115043,384.49790470302105,417.0
361.81654952903585,399.38345230184495,330.0
374.9991326499141,415.4265615232289,410.0
389.2901370197769,432.63534419611096,424.0
404.7025706867463,451.00849072262645,493.0
421.24268655323743,470.53277684003115,604.0
438.90777259599344,491.18017497099936,525.0
457.6836944116721,512.9047935791314,383.0
477.54221452193855,535.6396724656224,332.0
498.4381371961099,559.2935696262866,413.0
520.3063468627311,583.7478230614215,537.0
543.05885573075,608.8536170367151,647.0
566.5820106495328,634.4297900330275,641.0
590.7340495955242,660.2615478057414,505.0
615.3432402940782,686.1003785915673,503.0
640.2068783888374,711.6655902639031,418.0
665.0914303219946,736.6476529277861,570.0
689.7341123869343,760.7137288451195,706.0
713.8461633367993,783.5154143441468,711.0
737.1179795641002,804.698594847694,760.0
759.2262087026351,823.9154197108,654.0
779.8427359771459,840.8376474231482,631.0
798.6452561573267,855.170429000631,485.0
815.3289589109378,866.6659086216241,601.0
829.6186654505589,875.135301573202,630.0
841.2805923436636,880.4584375601262,765.0
850.1328498535859,882.5898432713002,961.0
856.0538192064661,881.5607973784208,879.0
858.9876611439346,877.4769256543368,656.0
858.9464636857505,870.5118160694838,616.0
856.0088712322265,860.8972815480083,679.0
850.3153344342238,848.9110054858029,749.0
842.0604794507285,834.8631643727422,834.0
831.4831657086958,819.081801135093,819.0
818.8552823442575,801.9009055178612,809.0
804.4700932985751,783.6483522765338,641.0
788.630878949347,764.6366626694798,623.0
771.6406118381288,745.1560722440481,644.0
753.7931343228898,725.4697409514338,614.0
735.3661055779667,705.8111060112715,783.0
716.6158031236542,686.3829698339105,721.0
697.7736992937898,667.3579434379935,780.0
679.0446308945932,648.8799469973892,581.0
660.6063139387884,631.0663864612579,493.0
642.6099254623232,614.0107419397682,499.0
625.1814798371116,597.7853519078344,566.0
608.4237430512592,582.4441717322916,710.0
592.4184764450349,568.0254986751825,587.0
577.2288382359195,554.5544880367815,624.0
562.9017917169173,542.0453628320247,396.0
549.4704444449692,530.5035661105067,439.0
536.9562432102808,519.9274807311594,478.0
525.3709773743357,510.3099876269698,534.0
514.7185748537161,501.6397817879915,613.0
504.99668426515126,493.90247933380306,628.0
496.1980460908991,487.08152942731977,598.0
488.3116630198415,481.15895907208323,530.0
481.3237818377222,476.1159535739571,421.0
475.2187056237912,471.9333274420351,432.0
469.9794523477053,468.5918575786054,583.0
465.58827452934486,466.0725164245814,641.0
462.0270565857997,464.35662079416215,689.0
459.27760426665094,463.4258974008262,792.0
457.3218390108615,463.262481180951,427.0
456.1419072383128,463.8488423936069,350.0
455.7202148165937,465.16766697727144,421.0
456.0393959437857,467.2016853131354,499.0
457.0822229986342,469.9334523268044,411.0
458.8314631292523,473.34508674405515,411.0
461.2696870830508,477.41797379404306,447.0
464.3790352661626,482.1324349436909,376.0
468.1409464498101,487.4673740994185,342.0
472.535853350549,493.3998954091221,379.0
477.5428489467702,499.90490193106234,453.0
483.1393298770737,506.954691959545,474.0
489.3006237660129,514.5185528807342,556.0
495.99960739349456,522.5623634383082,542.0
503.2063241266051,531.0482184570283,538.0
510.8876107089577,539.9340896438807,491.0
519.006745065692,549.1735380645841,484.0
527.5231283550143,558.7154955137521,535.0
536.3920131495436,568.5041152983904,641.0
545.5642961340287,578.4787540193647,667.0
554.9864129666437,588.5741884689778,597.0
564.6003173908487,598.7206916268915,586.0
574.3435601480483,608.8444521352649,502.0
584.1495140339987,618.8682188782841,525.0
593.9477496659935,628.7120097950101,723.0
603.664566558988,638.2940489407629,677.0
613.2236852931192,647.5318496841937,699.0
622.5470977611492,656.3434455376118,716.0
631.5560592098323,664.6486928183585,511.0
640.1722353563937,672.3708679415286,542.0
648.3189690507315,679.4381005726755,593.0
655.92259844481,685.7847254257649,707.0
662.9138165653835,691.3528031054884,793.0
669.2290364367842,696.0933995395899,720.0
674.811701692532,699.9676953926682,766.0
679.6134858301384,702.9478413723409,724.0
683.5953083485936,705.0174190122634,662.0
686.7281806592581,706.1720249056816,740.0
688.993805313773,706.4190095029771,885.0
690.3849032928409,705.7772712055594,988.0
690.9053222750799,704.2769444193691,1173.0
690.5697888676923,701.9578615706414,1008.0
689.4033572108382,698.8686922509223,817.0
687.440687965534,695.0659488327801,719.0
684.7251214782428,690.6123728714883,922.0
681.3075664930614,685.5755395032465,1112.0
